Level:Proficiency Bonus:Features:1st:2nd:3rd:4th:5th:
1st:+2:Divine Sense, Lay on Hands:-:-:-:-:-:
2nd:+2:Fighting Style, Spellcasting, Divine Smite:2:-:-:-:-:
3rd:+2:Divine Health, Sacred Oath:3:-:-:-:-:
4th:+2:Ability Score Improvement:3:-:-:-:-:
5th:+3:Extra Attack:4:2:-:-:-:
6th:+3:Aura of Protection:4:2:-:-:-:
7th:+3:Sacred Oath feature:4:3:-:-:-:
8th:+3:Ability Score Improvement:4:3:-:-:-:
9th:+4:-:4:3:2:-:-:
10th:+4:Aura of Courage:4:3:2:-:-:
11th:+4:Improved Divine Smite:4:3:3:-:-:
12th:+4:Ability Score Improvement:4:3:3:-:-:
13th:+5:-:4:3:3:1:-:
14th:+5:Cleansing Touch:4:3:3:1:-:
15th:+5:Sacred Oath feature:4:3:3:2:-:
16th:+5:Ability Score Improvement:4:3:3:2:-:
17th:+6:-:4:3:3:3:1:
18th:+6:Aura improvements:4:3:3:3:1:
19th:+6:Ability Score Improvement:4:3:3:3:2:
20th:+6:Sacred Oath feature:4:3:3:3:2:
